Date;CPI;Annual Inflation Rate;UK CPI;US CPI;EU CPI;Inf Expect (Households);Interest Rate;REER;NEER;Gross Foreign Reserves;Net Foreign Reserves;Interv;Domestic Gov Bonds
Жов.21;311,9;10,9;4,2;6,2;4,4;10,8;8,5;1,31;0,98;28,70611;19,09546;0,7026;12,09
Лис.21;314,4;10,3;5,1;6,8;5,2;10,9;8,5;1,32;0,99;29,65429;20,03669;0,3852;11,15
Гру.21;316,2;10,0;5,4;7,0;5,3;10,6;9,0;1,31;0,98;30,59844;20,37708;-0,1525;11,34
Січ.22;320,4;10,0;5,5;7,5;5,6;12,3;10,0;1,26;0,95;30,94095;20,76716;-1,3135;12,06
Лют.22;325,5;10,7;6,2;7,9;6,2;13,0;10,0;1,26;0,95;29,08698;18,97315;-0,3078;11,62
Бер.22;340,1;13,7;7,0;8,5;7,8;7,6;10,0;1,30;0,95;27,55286;17,55448;-1,7762;10,96
Кві.22;350,7;16,4;9,0;8,3;8,1;8,1;10,0;1,33;0,96;28,10745;17,56991;-2,20331;10,92
Тра.22;360,1;18,0;9,1;8,6;8,8;13,1;10,0;1,39;0,98;26,94507;16,77922;-3,35421;10,75
Чер.22;371,3;21,5;9,4;9,1;9,6;13,0;25,0;1,43;0,99;25,10224;14,92095;-3,95632;23,82
Лип.22;373,9;22,2;10,1;8,5;9,8;NaN;25,0;NaN;NaN;22,80215;12,95105;-1,19498;21,29
Сер.22;378,0;23,8;9,9;8,3;10,1;NaN;25,0;NaN;NaN;22,3866;12,57532;-1,32967;22,84
Вер.22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;25,43875;15,91961;-2,7527;NaN
